Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count
TCS,IT Services & Consulting ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1968 (56 yrs old),1 Lakh+,1 Lakh+
Accenture,IT Services & Consulting ,4.0,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,1989 (35 yrs old),1 Lakh+,1 Lakh+
Cognizant,IT Services & Consulting ,3.9,Skill Development / Learning,Promotions / Appraisal,1994 (30 yrs old),1 Lakh+,1 Lakh+
Wipro,IT Services & Consulting ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1945 (79 yrs old),10k-50k,1 Lakh+
Capgemini,IT Services & Consulting ,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1967 (57 yrs old),1 Lakh+,1 Lakh+
HDFC Bank,Banking ,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,1994 (30 yrs old),1 Lakh+,1 Lakh+
ICICI Bank,Banking ,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1994 (30 yrs old),1 Lakh+,1 Lakh+
Infosys,IT Services & Consulting ,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",1981 (43 yrs old),1 Lakh+,1 Lakh+
HCLTech,IT Services & Consulting ,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1991 (33 yrs old),1 Lakh+,1 Lakh+
Tech Mahindra,IT Services & Consulting ,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1986 (38 yrs old),1 Lakh+,1 Lakh+
Genpact,IT Services & Consulting ,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1997 (27 yrs old),1 Lakh+,1 Lakh+
Teleperformance,BPO ,3.8,Promotions / Appraisal,Promotions / Appraisal,1978 (46 yrs old),1 Lakh+,50k-1 Lakh
Axis Bank,Banking ,3.8,Job Security,Promotions / Appraisal,1993 (31 yrs old),50k-1 Lakh,50k-1 Lakh
Concentrix Corporation,BPO ,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1983 (41 yrs old),50k-1 Lakh,50k-1 Lakh
Amazon,Internet ,4.1,"Company Culture, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1994 (30 yrs old),1 Lakh+,1 Lakh+
Jio,Telecom ,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,2018 (6 yrs old),1 Lakh+,50k-1 Lakh
IBM,IT Services & Consulting ,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,1911 (113 yrs old),1 Lakh+,1 Lakh+
Reliance Retail,Retail ,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,2006 (18 yrs old),1 Lakh+,1 Lakh+
HDB Financial Services,NBFC ,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2007 (17 yrs old),1 Lakh+,1 Lakh+
