Company Name,Industry,Rating,Highly rated,Critically_rated,Founded Year,Global Count,India Count,Years old
TCS,IT Services & Consulting ,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1968,100000,100000,56
Accenture,IT Services & Consulting ,4.0,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,1989,100000,100000,35
Cognizant,IT Services & Consulting ,3.9,Skill Development / Learning,Promotions / Appraisal,1994,100000,100000,30
Wipro,IT Services & Consulting ,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",1945,100000,100000,79
Capgemini,IT Services & Consulting ,3.8,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",1967,100000,100000,57
HDFC Bank,Banking ,3.9,"Job Security, Skill Development / Learning",Promotions / Appraisal,1994,100000,100000,30
ICICI Bank,Banking ,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1994,100000,100000,30
Infosys,IT Services & Consulting ,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",1981,100000,100000,43
HCLTech,IT Services & Consulting ,3.6,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1991,100000,100000,33
Tech Mahindra,IT Services & Consulting ,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1986,100000,100000,38
Genpact,IT Services & Consulting ,3.9,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1997,100000,100000,27
Teleperformance,BPO ,3.8,Promotions / Appraisal,Promotions / Appraisal,1978,100000,100000,46
Axis Bank,Banking ,3.8,Job Security,Promotions / Appraisal,1993,100000,100000,31
Concentrix Corporation,BPO ,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",1983,100000,100000,41
Amazon,Internet ,4.1,"Company Culture, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Salary & Benefits",1994,100000,100000,30
Jio,Telecom ,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,2018,100000,100000,6
IBM,IT Services & Consulting ,4.1,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,1911,100000,100000,113
Reliance Retail,Retail ,3.9,"Skill Development / Learning, Job Security",Promotions / Appraisal,2006,100000,100000,18
HDB Financial Services,NBFC ,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,2007,100000,100000,17
iEnergizer,BPO ,4.7,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,2007,100000,100000,17
Larsen & Toubro Limited,Engineering & Construction ,4.0,"Job Security, Skill Development / Learning",Promotions / Appraisal,1938,100000,100000,86
BYJU'S,EdTech ,3.1,"Job Security, Work Life Balance, Company Culture","Job Security, Work Life Balance, Company Culture",2011,100000,100000,13
Deloitte,Management Consulting ,3.9,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance,1845,100000,100000,179
Kotak Mahindra Bank,Banking ,3.8,Job Security,Promotions / Appraisal,2003,100000,100000,21
Vodafone Idea,Telecom ,4.2,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,2018,100000,100000,6
Reliance Industries,Oil & Gas ,4.1,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,1977,100000,100000,47
Bharti Airtel,Telecom ,4.0,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,1995,100000,100000,29
Tata Motors,Automobile ,4.2,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,1945,100000,100000,79
WNS,BPO ,3.5,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1996,100000,100000,28
Flipkart,Internet ,4.0,"Skill Development / Learning, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",2007,100000,100000,17
IndusInd Bank,Banking ,3.7,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1994,100000,100000,30
Ernst & Young,Management Consulting ,3.6,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",1994,100000,100000,30
AU Small Finance Bank,Banking ,4.4,"Skill Development / Learning, Job Security, Company Culture","Work Life Balance, Work Satisfaction, Promotions / Appraisal",1996,100000,100000,28
DXC Technology,IT Services & Consulting ,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",2017,100000,100000,7
IDFC FIRST Bank,Banking ,4.0,"Salary & Benefits, Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",2018,100000,100000,6
Mahindra & Mahindra,Automobile ,4.2,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",1945,100000,100000,79
LTIMindtree,IT Services & Consulting ,3.6,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1997,100000,100000,27
Infosys BPM,BPO ,3.8,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",2002,100000,100000,22
Conneqt Business Solutions,BPO ,3.7,"Promotions / Appraisal, Salary & Benefits","Promotions / Appraisal, Salary & Benefits",2002,100000,100000,22
